stock,week,metric,value
8382.0,week_18,MedAE,0.0011578348739195
8382.0,week_18,MAPE,96.8003548308232
8382.0,week_18,sMAPE,187.6377328660525
8382.0,week_18,QLIKE,29.909972726098164
8382.0,week_19,R2,-4.908260723803255
8382.0,week_19,MSE,3.857400514136294e-07
8382.0,week_19,RMSE,0.0006210797464204
8382.0,week_19,MedAE,0.0005101175094267
8382.0,week_19,MAPE,94.3894299785621
8382.0,week_19,sMAPE,178.9529205673588
8382.0,week_19,QLIKE,17.233068280462053
8382.0,week_20,R2,-3.2930874096735927
8382.0,week_20,MSE,3.087676378035255e-07
8382.0,week_20,RMSE,0.0005556686402916
8382.0,week_20,MedAE,0.0004180945048141
8382.0,week_20,MAPE,94.62927286230126
8382.0,week_20,sMAPE,179.78664154312546
8382.0,week_20,QLIKE,18.624940938557973
8382.0,week_21,R2,-3.213042098527525
8382.0,week_21,MSE,2.5194732961716936e-07
8382.0,week_21,RMSE,0.0005019435522219
8382.0,week_21,MedAE,0.0003811796892032
8382.0,week_21,MAPE,93.14422065641408
8382.0,week_21,sMAPE,174.6565562488987
8382.0,week_21,QLIKE,14.409049508821584
8382.0,week_22,R2,-4.50859134947523
8382.0,week_22,MSE,1.7217009671512481e-07
8382.0,week_22,RMSE,0.0004149338461913
8382.0,week_22,MedAE,0.0003382471391414
8382.0,week_22,MAPE,95.25476043397788
8382.0,week_22,sMAPE,182.0598963335445
8382.0,week_22,QLIKE,21.84778645886941
8382.0,week_23,R2,-4.9098234661318365
8382.0,week_23,MSE,2.834241341924899e-07
8382.0,week_23,RMSE,0.0005323759331454
8382.0,week_23,MedAE,0.0004419357895844
8382.0,week_23,MAPE,96.2984909852663
8382.0,week_23,sMAPE,185.80914671597708
8382.0,week_23,QLIKE,27.604144103260875
8382.0,week_24,R2,-3.737310136145872
8382.0,week_24,MSE,2.682928053538639e-07
8382.0,week_24,RMSE,0.0005179698884625
8382.0,week_24,MedAE,0.0004084166942873
