,MAE,RMSE,MedAE,MAPE_pct,stock,week,model
56,0.00010101932012799157,0.0001282284733545168,8.34518379199937e-05,41.00262747508105,22675,29,XGB
58,8.249458050647258e-05,0.00010779057776558465,6.080525460943029e-05,35.18661054240685,22675,35,XGB
60,0.0002650352388908583,0.0003379762700486784,0.00022063173469389578,39.970137304958186,22729,4,XGB
62,0.00017795531578361238,0.00022479680097902652,0.00014947377228919493,38.6334903950479,22729,12,XGB
64,0.0001212763017272263,0.00015987564343110684,0.00010104604288042101,51.5653110808571,22729,14,XGB
66,0.0001613761650063181,0.00022229491028175494,0.00011981510214748381,48.80277828593932,22729,17,XGB
68,0.0001678451246682142,0.0002347532066828086,0.00013102265611749216,111.44121222306549,22729,21,XGB
70,0.00015300082240020022,0.0002134534108130452,0.00011448806914737005,73.42710536881654,22729,24,XGB
72,0.00014232973278675395,0.00018708234618388642,0.00011835548071550028,106.9547034447738,22729,28,XGB
74,0.0001316629612480148,0.00016598123298750006,0.00011223559681216291,72.64703151795989,22729,29,XGB
76,0.00011823192080627804,0.00014976486317545539,9.911976043499932e-05,76.33251293021276,22729,30,XGB
78,0.00013844796106499526,0.00017506934597006025,0.0001191205667064445,68.60096773248475,22729,33,XGB
80,0.00013403709789477957,0.00017069129719771454,0.00011116021568079095,3104665428295761.0,22729,35,XGB
82,0.00011588635797333361,0.00015426698111316813,9.353077966389927e-05,34.41302978734417,22753,6,XGB
84,0.00018498206965950582,0.00024140639882749512,0.00014950590876572622,22.932098205354333,22753,8,XGB
86,0.0001141730022759238,0.00014770800299256234,8.957582101277904e-05,35.34580520731047,22753,16,XGB
88,9.495328249265864e-05,0.00012646832784315504,8.057884384029335e-05,24.633261759338687,22753,17,XGB
90,0.00010108732190393488,0.00013215738205101148,8.224081285151183e-05,27.528834052279212,22753,19,XGB
92,9.735712852870084e-05,0.000125034786527543,7.917889530979792e-05,22.222076282527343,22753,28,XGB
94,9.628701158872113e-05,0.00012722663026891757,7.798834480145299e-05,25.76469740410008,22753,33,XGB
96,0.00011491504928875154,0.0001810636789048029,7.781991039212798e-05,25.1551237392095,22753,37,XGB
98,0.00027472114912462537,0.0003556167160498303,0.0002152542206108122,41.199001263885656,22771,4,XGB
100,0.00027503725004048685,0.0003708829983874419,0.00022322852006746689,61.55303997763817,22771,11,XGB
102,0.00019910703734682853,0.0002545643689610166,0.00017090798659631884,33.156630753237806,22771,12,XGB
104,0.00015534933551987566,0.0001991296801504342,0.0001224648731826133,43.42161353508044,22771,14,XGB
106,0.00016413390805901563,0.00020564956949859053,0.00014983426493204012,59.51878518510212,22771,15,XGB
