cluster,stock,week,model,R2,RMSE,MAE,MedAE,MAPE(%),SMAPE(%),QLIKE
0,8382.0,1,cluster0_model,0.7192990444148957,0.00064139059586768,0.0004506760181162035,0.0003285079380081922,28.229375968964654,26.95785632432551,-5.421374240941355
0,8382.0,2,cluster0_model,0.6898053353419208,0.00035312272497272864,0.0002395846761065537,0.00017713353521669388,21.102768651291758,20.346310530479133,-5.800978340689401
0,8382.0,3,cluster0_model,0.5171009574065009,0.00023857873889213322,0.00017407215613182117,0.0001412199171041588,33.11854113395064,28.10369146461863,-6.4310094803482825
0,8382.0,4,cluster0_model,0.727492657616531,0.0007188576382021444,0.0004108596428418911,0.00024863665094864687,21.410863633993216,21.30247940411663,-5.379192583445188
0,8382.0,5,cluster0_model,0.4973016727936276,0.00024920081611316363,0.0001841370676839025,0.000139284348120329,26.647507738105404,23.881646052705836,-6.2150473434275275
0,8382.0,6,cluster0_model,0.6044459270582234,0.00024443860805038704,0.00018083088964921437,0.00014304288952654142,23.80579751463191,21.88628112856644,-6.170767252483696
0,8382.0,7,cluster0_model,0.3055019734786767,0.00021142945087442808,0.00016040911050934042,0.0001326704776083147,22.119843588697787,20.84028107625962,-6.19766693754733
0,8382.0,8,cluster0_model,0.8824713982205021,0.00047939574821896213,0.00034986849017720815,0.00026618749939158655,16.969661438517164,17.247558080186128,-5.243496353791065
0,8382.0,9,cluster0_model,0.8885184633033835,0.0009928847152419742,0.0007492080940970576,0.0005495047659105033,20.40784849171743,21.761933861492903,-4.6918389457883345
0,8382.0,10,cluster0_model,0.7792727313805328,0.0003233616628807269,0.00023694391675391864,0.00017036993689905462,19.65732598221692,19.15114386666032,-5.711993808310407
0,8382.0,11,cluster0_model,0.8276450792168638,0.0003695374210059685,0.00029175266638514454,0.0002271764573109608,21.511414180866723,20.94378216365551,-5.55695472674323
0,8382.0,12,cluster0_model,0.7668811878788818,0.0003495712659778834,0.00026327944666337924,0.00021202197629716557,19.659147288610733,18.782071302691335,-5.57833190526275
0,8382.0,14,cluster0_model,0.3875587135998938,0.00020299334770546823,0.00016266727030455377,0.00014508436569934965,27.914075576984352,24.79456058225815,-6.340644248763035
