p,q,dist,solver,QLIKE,runtime_secs
1,1,normal,bfgs,65.95006492516006,0.9298417568206787
1,1,normal,nm,65.95006492516006,1.1093621253967285
1,1,t,bfgs,65.95006492516006,0.9582719802856445
1,1,t,nm,65.95006492516006,0.9692049026489258
1,1,skewt,bfgs,65.95006492516006,1.0459678173065186
1,1,skewt,nm,65.95006492516006,1.0687527656555176
1,2,normal,bfgs,72.58001131497902,1.0127840042114258
1,2,normal,nm,72.58001131497902,1.086172342300415
1,2,t,bfgs,72.58001131497902,1.098250389099121
1,2,t,nm,72.58001131497902,1.1410508155822754
1,2,skewt,bfgs,72.58001131497902,1.1891694068908691
1,2,skewt,nm,72.58001131497902,1.1764721870422363
1,3,normal,bfgs,77.54172344083658,1.1885409355163574
1,3,normal,nm,77.54172344083658,1.059006690979004
1,3,t,bfgs,77.54172344083658,1.1309807300567627
1,3,t,nm,77.54172344083658,1.124408483505249
1,3,skewt,bfgs,77.54172344083658,1.1391818523406982
1,3,skewt,nm,77.54172344083658,1.3646039962768555
2,1,normal,bfgs,64.71935399372249,1.0713658332824707
2,1,normal,nm,64.71935399372249,0.9982385635375977
2,1,t,bfgs,64.71935399372249,0.9306790828704834
2,1,t,nm,64.71935399372249,1.078209638595581
2,1,skewt,bfgs,64.71935399372249,1.1678290367126465
2,1,skewt,nm,64.71935399372249,1.220066785812378
2,2,normal,bfgs,66.8649520116348,1.182229995727539
2,2,normal,nm,66.8649520116348,1.1112556457519531
2,2,t,bfgs,66.8649520116348,1.121046543121338
2,2,t,nm,66.8649520116348,1.1097996234893799
2,2,skewt,bfgs,66.8649520116348,1.3072290420532227
2,2,skewt,nm,66.8649520116348,1.169116735458374
2,3,normal,bfgs,68.84168772537977,1.061056137084961
2,3,normal,nm,68.84168772537977,1.0585813522338867
2,3,t,bfgs,68.84168772537977,1.1484744548797607
2,3,t,nm,68.84168772537977,1.2585060596466064
2,3,skewt,bfgs,68.84168772537977,1.3282194137573242
2,3,skewt,nm,68.84168772537977,1.354353904724121
3,1,normal,bfgs,65.45810906982666,1.10854172706604
3,1,normal,nm,65.45810906982666,1.078779697418213
3,1,t,bfgs,65.45810906982666,1.3861019611358643
3,1,t,nm,65.45810906982666,1.133094072341919
3,1,skewt,bfgs,65.45810906982666,1.2540204524993896
3,1,skewt,nm,65.45810906982666,1.3122730255126953
3,2,normal,bfgs,68.3383229458592,1.087157964706421
3,2,normal,nm,68.3383229458592,1.0385181903839111
3,2,t,bfgs,68.3383229458592,1.1686673164367676
3,2,t,nm,68.3383229458592,1.2838807106018066
3,2,skewt,bfgs,68.3383229458592,1.3224153518676758
3,2,skewt,nm,68.3383229458592,1.3335881233215332
3,3,normal,bfgs,70.44537283449843,1.1278958320617676
3,3,normal,nm,70.44537283449843,1.1671109199523926
3,3,t,bfgs,70.44537283449843,1.3351759910583496
3,3,t,nm,70.44537283449843,1.4424972534179688
3,3,skewt,bfgs,70.44537283449843,1.3576102256774902
3,3,skewt,nm,70.44537283449843,1.4034671783447266
